CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14390
NOMBRE    : EL CORCOVADO
ESTADO    : JALISCO
MUNICIPIO : AUTLAN DE NAVARRO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 019.846°
LONGITUD  : -104.284°
ALTITUD   : 900 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/01/2008  0      4.5    33     13 
02/01/2008  0      7.9    29     12 
03/01/2008  0      5.3    30     15 
04/01/2008  0      5.4    32     12 
05/01/2008  0      2.5    33     11 
06/01/2008  0      2.8    32     9 
07/01/2008  0      4.1    32     9 
08/01/2008  0      4.1    32     9 
09/01/2008  0      4.2    32     9 
10/01/2008  0      4      31     8 
11/01/2008  0      3.4    27     8 
12/01/2008  0      4.2    31     8 
13/01/2008  0      4      32     7 
14/01/2008  0      3.6    30     8 
15/01/2008  0      4.1    29     11 
16/01/2008  0      4.1    28     9 
17/01/2008  0      4.2    27     7.5 
18/01/2008  0      4.2    29     8 
19/01/2008  0      4.2    39     11 
20/01/2008  0      4.2    31     11 
21/01/2008  0      5.2    32     11 
22/01/2008  0      3.3    30     13 
23/01/2008  0      5.6    35     11 
24/01/2008  0      3.3    33     12 
25/01/2008  0      4.2    32     13 
26/01/2008  0      4.5    34     13 
27/01/2008  0      4.4    33     12 
28/01/2008  0      4.9    33     13 
29/01/2008  0      4.7    34.3   13 
30/01/2008  0      4.7    31     12.5 
31/01/2008  0      4.5    32     12 
01/02/2008  0      5.1    32     11 
02/02/2008  0      5.1    33     9 
03/02/2008  0      5.2    33     10 
04/02/2008  0      5.2    32     11 
05/02/2008  0      5.2    33     10 
06/02/2008  0      5.6    32     10 
07/02/2008  0      4.2    31     10 
08/02/2008  0      4.4    31     13 
09/02/2008  0      5      33     13 
10/02/2008  0      4.9    33     13 
11/02/2008  0      5.7    34     13 
12/02/2008  0      4.9    32     11 
13/02/2008  0      6.1    32     11 
14/02/2008  0      6      31     9 
15/02/2008  0      6      33     10 
16/02/2008  0      5.7    34     9 
17/02/2008  0      5.7    34     9 
18/02/2008  0      5.5    33     9 
19/02/2008  0      5.7    33     8 
20/02/2008  0      5.1    33     8 
21/02/2008  0      5.1    34     9 
22/02/2008  0      5.8    34     9 
23/02/2008  0      5.8    36     10.5 
24/02/2008  0      5.8    37     11 
25/02/2008  0      5      34     11 
26/02/2008  0      6.4    34     10 
27/02/2008  0      6.6    35     9 
28/02/2008  0      6.1    32     10 
29/02/2008  0      6.4    33     10 
01/03/2008  0      5.9    35     12 
02/03/2008  0      5.9    34     10 
03/03/2008  0      5.5    34     9 
04/03/2008  0      4.8    32     9 
05/03/2008  0      6.7    33     9 
06/03/2008  0      6.9    33     7 
07/03/2008  0      4.7    34     8 
08/03/2008  0      4.7    30     7 
09/03/2008  0      4.8    33     6 
10/03/2008  0      7.5    33     8 
11/03/2008  0      6.8    35     12.5 
12/03/2008  0      7.4    35     11 
13/03/2008  0      7.8    34     9 
14/03/2008  0      7.4    34     11 
15/03/2008  0      6.6    34     9.5 
16/03/2008  0      6.4    35     8 
17/03/2008  0      6.4    32     9 
18/03/2008  0      7.5    31     9 
19/03/2008  0      6.4    31     10 
20/03/2008  0      6.4    32     10 
21/03/2008  0      6.4    31     10 
22/03/2008  0      6.4    30     11 
23/03/2008  0      6.7    32     10 
24/03/2008  0      6.8    33     11 
25/03/2008  0      6.9    33     12 
26/03/2008  0      6.9    31     11 
27/03/2008  0      7      23     11 
28/03/2008  0      7      33     12 
29/03/2008  0      7.1    31     12 
30/03/2008  0      7.1    32     10 
31/03/2008  0      7.8    34     11 
01/04/2008  0      7.7    36.5   10 
02/04/2008  0      7.2    36     12 
03/04/2008  0      7.6    38     12 
04/04/2008  0      7      35     11 
05/04/2008  0      7.1    33     14 
06/04/2008  0      7      34     15 
07/04/2008  0      7.1    35     15 
08/04/2008  0      12.6   33.5   15 
09/04/2008  0      2.3    34     13.5 
10/04/2008  0      7.3    35     13 
11/04/2008  0      7.5    38     14 
12/04/2008  0      7.5    35     15 
13/04/2008  0      7.5    36     14 
14/04/2008  0      7.6    37     13 
15/04/2008  0      7.1    36     14 
16/04/2008  0      8.6    37     17 
17/04/2008  0      7.8    36     12 
18/04/2008  0      8.3    38     13 
19/04/2008  0      8.6    39     14 
20/04/2008  0      8.3    39     16 
21/04/2008  0      8.9    38.5   14 
22/04/2008  0      8.4    38     14 
23/04/2008  0      7.5    38.5   14 
24/04/2008  0      9.3    37     15 
25/04/2008  0      8.7    37     14 
26/04/2008  0      8.3    38     14 
27/04/2008  0      8.7    39     13 
28/04/2008  0      9.2    38.5   15 
29/04/2008  0      9.8    35     14 
30/04/2008  0      8.7    38     14 
01/05/2008  0      9      37     13 
02/05/2008  0      9.4    37     13 
03/05/2008  0      8.5    37     13 
04/05/2008  0      8.5    32     13 
05/05/2008  0      8.6    37     14 
06/05/2008  0      7.9    35     16 
07/05/2008  0      7.3    37     18 
08/05/2008  0      7.3    36     15 
09/05/2008  0      6.9    38     16 
10/05/2008  0      6.9    37     18 
11/05/2008  0      6.9    37     18 
12/05/2008  0      6.6    37     18 
13/05/2008  1      8.4    36     17 
14/05/2008  0      8.2    37     16.5 
15/05/2008  0      7.3    36     17.5 
16/05/2008  0      7.3    36     17 
17/05/2008  0      8.1    36     17 
18/05/2008  0      8.1    36     16 
19/05/2008  0      7.6    35     17 
20/05/2008  0      7.4    36     17 
21/05/2008  0      7.7    33     15 
22/05/2008  0      8.1    31     15.5 
23/05/2008  0      7.1    34     13 
24/05/2008  0      7.1    36     14.5 
25/05/2008  0      7.1    36     15 
26/05/2008  0      5.6    35     18 
27/05/2008  0      7.9    34     19 
28/05/2008  4.5    7.9    34     20 
29/05/2008  0      7.9    36     21 
30/05/2008  0      7.7    35     19 
31/05/2008  0      7.1    37     20 
01/06/2008  0      7.1    37     18.5 
02/06/2008  0      7.6    38     18 
03/06/2008  0      8.4    37     19 
04/06/2008  0      7.8    34     19 
05/06/2008  0      7.8    34     19 
06/06/2008  0      7.8    35     21 
07/06/2008  0      7.4    35     22 
08/06/2008  0      7.3    35     20 
09/06/2008  0      6.2    36     21 
10/06/2008  20     0.8    26     21 
11/06/2008  2      6.2    31     20 
12/06/2008  0      3.4    30     20 
13/06/2008  0      6.8    34     21 
14/06/2008  12.7   6.1    34     22 
15/06/2008  15.5   5.7    33     20 
16/06/2008  0      6.5    34     19 
17/06/2008  0      7.4    35     19 
18/06/2008  0      6.5    36     20 
19/06/2008  0      3.1    34     22 
20/06/2008  16.4   7.2    35     21.5 
21/06/2008  13.2   4.6    32     19 
22/06/2008  25.1   6.1    31     20 
23/06/2008  0      5.7    32     19 
24/06/2008  1.5    5.9    35     21 
25/06/2008  1.2    4.5    34     20 
26/06/2008  0      5.4    34     20 
27/06/2008  0      6      33     21 
28/06/2008  0      5.6    34     22 
29/06/2008  0      5.6    34     21 
30/06/2008  6.3    5.6    34     22 
01/07/2008  0      4.7    32     21 
02/07/2008  2.2    3.6    30     21 
03/07/2008  0      3.6    29     20 
04/07/2008  3.6    6.1    33     20 
05/07/2008  32.5   8.3    33     20 
06/07/2008  4      2.6    31     20.5 
07/07/2008  3.8    2      26     21 
08/07/2008  23.6   3.3    27     21 
09/07/2008  6      0.8    25     20.5 
10/07/2008  0      4.3    32     21 
11/07/2008  0      3.6    31     21 
12/07/2008  5      2.1    30     19 
13/07/2008  48     1.2    33     19 
14/07/2008  0      3.9    31     19 
15/07/2008  2.5    5.7    32.5   20 
16/07/2008  21     6.8    34     19.5 
17/07/2008  0.2    4.9    32     19.5 
18/07/2008  0.2    5      32     20 
19/07/2008  0      4.7    35     20 
20/07/2008  12.7   3.8    35     20 
21/07/2008  0      6.1    34     20 
22/07/2008  0      4.6    32     21.5 
23/07/2008  0      4.4    32.5   20 
24/07/2008  0      5.9    34     21 
25/07/2008  27.6   3.6    32     21.5 
26/07/2008  0      5.7    35     20 
27/07/2008  0      5.6    34     20 
28/07/2008  0      5.6    34     19.5 
29/07/2008  0      4.8    33     19.5 
30/07/2008  0      4      33.5   20 
31/07/2008  0      5.4    33     19 
01/08/2008  0      6.7    32     20 
02/08/2008  0      4.2    34     20 
03/08/2008  0      4.3    34     20 
04/08/2008  0.5    5      34     19.5 
05/08/2008  5      4.7    33     21 
06/08/2008  12.7   4.6    33     20 
07/08/2008  0      2.3    33     20 
08/08/2008  5.3    3.9    33     19 
09/08/2008  0      5.1    33     17 
10/08/2008  0      5.1    33.5   18 
11/08/2008  0      3.9    33     17.5 
12/08/2008  5.9    3.5    32     20 
13/08/2008  0      6.1    33     19 
14/08/2008  5.2    5      33     20 
