CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14368
NOMBRE    : USMAJAC
ESTADO    : JALISCO
MUNICIPIO : SAYULA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 019.873°
LONGITUD  : -103.543°
ALTITUD   : 1,360 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
27/04/2018  0      9.5    34.5   9 
28/04/2018  0      9.9    34.5   9 
29/04/2018  0      11     34.5   14 
30/04/2018  0      7.7    33     14 
01/05/2018  0      6.2    32.5   12.5 
02/05/2018  0      8.3    33.5   13 
03/05/2018  0.3    3.7    19     15 
04/05/2018  0      7.4    33.5   13 
05/05/2018  20.9   10.3   34     13 
06/05/2018  26.7   9.8    29.5   15 
07/05/2018  27.7   9.2    30.5   13 
08/05/2018  0      4.6    20     13.5 
09/05/2018  6.2    4.6    28     14 
10/05/2018  14.4   7.1    30     13 
11/05/2018  0      6.3    30.5   11 
12/05/2018  0      6      31.5   11 
13/05/2018  0      8.5    33     14.5 
14/05/2018  1.1    4.4    30     14.5 
15/05/2018  0      6.2    32.5   14 
16/05/2018  6.5    6      33     14 
17/05/2018  0      6.2    31.5   17 
18/05/2018  0      7.9    33.5   15.5 
19/05/2018  0      7.5    33     14 
20/05/2018  0      7.7    33     13.5 
21/05/2018  0      8.2    33.5   14.5 
22/05/2018  0      8.6    34.5   14.5 
23/05/2018  0      8.9    35.5   14.5 
24/05/2018  0      8.4    35     15 
25/05/2018  0      8.4    34.5   15 
26/05/2018  0      7.8    35.5   15.5 
27/05/2018  0      8.1    35.5   16 
28/05/2018  0      8.1    35     17 
29/05/2018  0      8.8    26.5   17 
30/05/2018  0      8.9    36.5   17 
31/05/2018  0      5.8    36     17.5 
01/06/2018  0      9.1    37.5   17 
02/06/2018  0      9.4    34.5   16 
03/06/2018  0      7.3    33.5   15.5 
04/06/2018  0      8.8    34.5   17 
05/06/2018  5.6    4.7    32     17.5 
06/06/2018  0      8.3    33     17.5 
07/06/2018  1.1    5.3    32     17.5 
08/06/2018  19.1   5.9    29     15 
09/06/2018  1.1    2.5    27.5   15.5 
10/06/2018  20.7   4.5    29     15.5 
11/06/2018  0.6    2.8    25     15 
12/06/2018  6.2    5.4    24.5   16 
13/06/2018  0.7    3.2    25.5   16 
14/06/2018  0      6.8    30.5   14 
15/06/2018  0      7.2    36.5   14 
16/06/2018  0      7.9    33     14 
17/06/2018  0      3.1    28     17.5 
18/06/2018  1.4    9.6    29.5   16 
19/06/2018  3.2    2.3    24.5   16 
20/06/2018  3.5    3.7    24.5   14.5 
21/06/2018  5.8    6.7    28     14.5 
22/06/2018  0      6.7    28     15 
23/06/2018  32.4   5.2    29.5   15 
24/06/2018  0      3.7    28     14.5 
25/06/2018  1.2    3.3    26.5   15 
26/06/2018  8.9    6.2    29.5   15 
27/06/2018  1.8    3.6    26.5   15 
28/06/2018  40.7   7.9    26.5   15 
29/06/2018  20.5   3.1    22.5   14 
30/06/2018  0      4.3    17     11.5 
01/07/2018  21.2   2.2    25.5   12.5 
02/07/2018  1.4    3      27     15.5 
03/07/2018  5.6    4.3    27     16.5 
04/07/2018  2.4    4      27     13.5 
05/07/2018  36.7   10.3   27     14 
06/07/2018  0.2    4.3    27.5   14 
07/07/2018  0      5.8    26.5   15 
08/07/2018  0      4.1    28     15.5 
09/07/2018  5.5    4.5    26     15.5 
10/07/2018  17.5   5.8    27     13 
11/07/2018  0.4    1.5    22     13.5 
12/07/2018  16.8   4.7    25.5   12.5 
13/07/2018  0      4.4    28     13 
14/07/2018  4.3    2.8    26.5   13 
15/07/2018  0.5    2.2    25     13.5 
16/07/2018  13.7   4.8    28     15 
17/07/2018  0      3.3    27.5   14.5 
18/07/2018  0.3    2.7    27     13.5 
19/07/2018  17.7   5.7    27.5   12 
20/07/2018  13.4   5.8    28     13.5 
21/07/2018  2.8    4.7    27     12.5 
22/07/2018  0      6      30     13 
23/07/2018  0.5    4.1    16     14.5 
24/07/2018  0      5.1    30     14 
25/07/2018  0      5.1    30     14 
26/07/2018  8.5    2.8    28.5   14.5 
27/07/2018  0      4.7    29.5   14.5 
28/07/2018  0.5    4.6    29     14.5 
29/07/2018  0      4.9    30     12.5 
30/07/2018  0.6    3.8    28.5   13 
31/07/2018  3.4    4.4    28.5   13 
01/08/2018  7.5    4.7    30     15 
02/08/2018  2.2    4.4    28.5   14.5 
03/08/2018  0.1    4.3    29.5   15 
04/08/2018  0      6.5    30.5   15 
05/08/2018  16.1   4      27     15 
06/08/2018  8.2    2.4    24     14.5 
07/08/2018  0      4.7    27.5   14.5 
08/08/2018  2.7    2.3    24.5   14.5 
09/08/2018  3.8    2.9    26.5   14 
10/08/2018  29.9   8.9    27     13 
11/08/2018  0      4.1    28     11.5 
12/08/2018  0      4.7    29     12.5 
13/08/2018  8      2.9    26.5   15.5 
14/08/2018  0      3.5    26     15.5 
15/08/2018  0      5.6    29     14.5 
16/08/2018  1.6    8.3    27.5   14.5 
17/08/2018  0.2    4.5    30.5   15.5 
18/08/2018  1.2    3.5    29.5   13 
19/08/2018  2.2    3.8    29     13 
20/08/2018  9.6    3.9    29     13.5 
21/08/2018  1.6    3.8    27     14.5 
22/08/2018  0      6.9    30     15 
23/08/2018  9.7    4.8    29     13 
24/08/2018  0.3    3.8    27.5   13 
25/08/2018  2.4    4.1    28.5   12.5 
26/08/2018  1.3    2.3    25.5   13.5 
27/08/2018  2.5    3.1    26.5   12 
28/08/2018  0      3.8    29.5   12.5 
29/08/2018  8.9    4.4    26     14.5 
30/08/2018  6      8.2    28     12.5 
31/08/2018  0      3      36     15.5 
01/09/2018  0      4.5    28     15.5 
02/09/2018  5.3    3.6    28     15 
03/09/2018  0.2    2.9    26.5   14.5 
04/09/2018  11.4   4.4    27.5   12.5 
05/09/2018  5.2    2.7    26.5   14 
06/09/2018  0      3.4    27     15 
07/09/2018  0      4.8    30     14 
08/09/2018  0.2    4.4    27     14 
09/09/2018  9.5    4.5    29     15 
10/09/2018  0      3.2    27     14 
11/09/2018  1.3    4.2    27     15 
12/09/2018  0      5.3    28.5   15.5 
13/09/2018  7.8    3.5    29.5   14 
14/09/2018  0      4.7    28.5   14 
15/09/2018  0      5.4    29.5   15 
16/09/2018  0.2    0.8    28     14.5 
17/09/2018  0      4.5    30     15 
18/09/2018  0.5    2.7    28     14 
19/09/2018  0      2.8    21.5   14.5 
20/09/2018  0      3.4    30     12.5 
21/09/2018  2.6    2.9    27     14.5 
22/09/2018  17.8   3.8    17.5   15 
23/09/2018  0      4.5    29.5   14.5 
24/09/2018  0.4    2.5    25.5   14 
25/09/2018  0      3.5    28     14 
26/09/2018  25.6   3.9    27     16 
27/09/2018  5.5    4.4    28     16 
28/09/2018  2.2    3.3    26     15 
29/09/2018  1.7    1.6    34     15.5 
30/09/2018  0      3.9    27     15 
01/10/2018  7.1    4.6    28     15 
02/10/2018  0.2    4.1    28     14 
03/10/2018  0.5    3.1    27.5   12.5 
04/10/2018  6      4      28.5   13 
05/10/2018  9.7    4.9    29.5   13 
06/10/2018  6.1    3.6    26.5   13 
07/10/2018  2.8    2.8    25     11.5 
08/10/2018  0      3.5    26     12.5 
09/10/2018  0      4.7    27     14 
10/10/2018  0      4.5    29.5   11.5 
11/10/2018  0      3.8    30     11.5 
12/10/2018  0      3.2    28     15 
13/10/2018  0      4.1    29     16.5 
14/10/2018  4      2.5    29     17 
15/10/2018  0.2    0.6    23.5   16 
16/10/2018  0.6    3.3    28     15.5 
17/10/2018  0.2    3.9    29     14 
18/10/2018  1.7    2.1    26     14 
19/10/2018  0      1.8    26.5   14.5 
20/10/2018  18.8   5.2    26     15 
21/10/2018  7      7.6    22     15 
22/10/2018  13.8   1.8    21.5   15.5 
23/10/2018  1      2.3    22.5   15 
24/10/2018  1.1    2.4    26     15 
25/10/2018  0      4      29.5   11 
26/10/2018  0      4.1    28.5   10.5 
27/10/2018  0      5      29.5   10 
28/10/2018  0      3      27.5   10.5 
29/10/2018  0      3.8    28     11 
30/10/2018  0      3.2    30.5   11 
31/10/2018  0      3.3    29     11 
01/11/2018  8      11.3   29.5   12 
02/11/2018  0      1.4    29.5   12 
03/11/2018  6.8    1      20     12 
04/11/2018  2.8    0.8    19     12 
05/11/2018  0.3    2.5    24     12.5 
06/11/2018  0      3.3    28.5   9 
07/11/2018  0      1.6    29.5   9.5 
08/11/2018  0      3.6    30     11 
09/11/2018  0      3.6    29     11 
10/11/2018  0      3.2    28.5   11 
11/11/2018  0      3.6    28.5   11.5 
12/11/2018  0      2.2    27     10 
13/11/2018  0      4.5    25.5   9.5 
14/11/2018  0      3.4    22     7.5 
15/11/2018  0      3.8    26.5   5 
16/11/2018  0      3.3    28.5   4 
17/11/2018  0      3.2    26     3.5 
18/11/2018  0      3.7    28.5   5.5 
19/11/2018  0      2.4    30.5   6 
20/11/2018  0      4.8    31.5   6.5 
21/11/2018  0      4      32     7 
22/11/2018  0      3      29     6 
23/11/2018  0      3.6    29.5   6 
24/11/2018  0      3.7    31     6 
25/11/2018  0      3.8    29.5   6.5 
26/11/2018  0      3.7    29     6.5 
27/11/2018  3.8    1.8    26     6.5 
28/11/2018  47.4   8.4    16     8 
29/11/2018  0      0.7    17     10.5 
30/11/2018  0      2.9    23.5   7 
01/12/2018  0      2.8    26.5   5 
02/12/2018  0      3.3    27.5   6 
03/12/2018  0      2.8    29     6 
04/12/2018  0      3.8    29.5   7 
05/12/2018  0      2.9    29     8.5 
06/12/2018  0      2.8    28     11.5 
07/12/2018  0      1      27.5   10 
08/12/2018  0      3      22     10 
09/12/2018  0      3.2    29     9.5 
10/12/2018  0      3      27     8 
11/12/2018  0      2.8    26     8 
12/12/2018  0      2.3    24.5   8 
13/12/2018  0      2.5    24.5   10 
14/12/2018  0      2.6    24     7.5 
15/12/2018  0      2.9    24     2 
16/12/2018  0      1.9    24.5   2 
17/12/2018  0      1.3    22.5   4.5 
18/12/2018  0      8.8    26     6 
19/12/2018  0      3.7    27     6.5 
20/12/2018  0      4.2    23     3 
21/12/2018  0      1.9    25     0 
22/12/2018  0      1.4    25     0 
23/12/2018  0      4.3    26     0 
24/12/2018  0      2.8    24.5   2.5 
25/12/2018  0      2      28     6 
26/12/2018  0      2.7    26     7 
27/12/2018  0      2.1    23     6 
28/12/2018  0      2.3    23     6 
29/12/2018  0      3.1    27     6 
30/12/2018  0      3.4    23     6 
31/12/2018  0      1.3    26     6 
01/01/2019  0      2.2    25     5 
02/01/2019  0      3.7    24.5   6 
03/01/2019  0      3.6    28     6.5 
04/01/2019  0      4      28.5   6 
05/01/2019  0      3.5    29.5   6 
06/01/2019  0      3.6    27.5   6.5 
07/01/2019  0      3.4    28.5   7 
08/01/2019  0      4.1    29.5   7.5 
09/01/2019  0      3      27.5   3 
10/01/2019  0      3.1    27     3 
11/01/2019  8.7    1.8    22     6.5 
12/01/2019  0      2.7    26     6.5 
13/01/2019  0      3.3    25     7 
14/01/2019  3.8    3.1    27.5   6.5 
15/01/2019  0      2.1    22.5   6.5 
16/01/2019  0      2.2    24.5   8.5 
17/01/2019  0      1.3    22     9 
18/01/2019  0      2.8    25.5   8 
19/01/2019  0      3.4    28     5.5 
20/01/2019  0      2.9    26     5 
21/01/2019  0      4.1    30     5.5 
22/01/2019  0      4.2    27     5.5 
23/01/2019  0      4.1    29     7.5 
24/01/2019  0      4.8    29.5   5.5 
25/01/2019  0      4.6    30     6 
26/01/2019  0      5      28     6.5 
27/01/2019  0      6.5    24.5   2.5 
28/01/2019  0      5.3    28.5   2 
29/01/2019  0      5.3    28.5   2 
30/01/2019  0      5.5    26     2 
31/01/2019  0      5.9    26.5   8 
01/02/2019  0      5.8    27     7 
02/02/2019  0      5.1    28.5   6 
03/02/2019  0      5.8    29.5   4 
04/02/2019  0      5.4    30.5   4 
05/02/2019  0      4.5    29     4 
06/02/2019  0      6      30.5   4.5 
07/02/2019  0      5.2    33.5   4 
08/02/2019  0      4.5    30     4.5 
09/02/2019  0      5.1    29.5   6 
10/02/2019  0      3.8    29     6.5 
11/02/2019  0      4.5    29     9 
12/02/2019  0      4.5    29     9 
13/02/2019  0      4.9    31     7 
14/02/2019  0      5.6    29.5   7 
15/02/2019  0      5.8    31.5   7 
16/02/2019  0      4      32.5   7 
17/02/2019  0      8.3    30.5   7 
18/02/2019  0      6.4    30.5   6.5 
19/02/2019  0      4.3    27.5   7 
20/02/2019  0      6.4    28     10.5 
21/02/2019  0      7.3    27.5   10 
22/02/2019  0      4.9    28     8 
23/02/2019  0      5.9    30     8.5 
24/02/2019  0      4.5    31.5   7 
25/02/2019  0      4.8    30     7.5 
26/02/2019  0      5.5    31.5   8 
27/02/2019  0      6.2    33.5   7 
28/02/2019  0      7.5    33     7 
--------------------------------------
CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14368
NOMBRE    : USMAJAC
ESTADO    : JALISCO
MUNICIPIO : SAYULA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 019.873°
LONGITUD  : -103.543°
ALTITUD   : 1,360 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/01/2008  0      3      29     6 
02/01/2008  0      4.3    22.5   9.5 
03/01/2008  0      6.5    22     5 
04/01/2008  0      2.2    26     2 
05/01/2008  0      0.9    30.5   3 
06/01/2008  0      5.3    31     5 
07/01/2008  0      2.8    31     4.5 
08/01/2008  0      3.2    30.5   3 
09/01/2008  0      4      30     3 
10/01/2008  0      5      29.5   4 
11/01/2008  0      4.2    28     0.7 
12/01/2008  0      3.6    29     4 
13/01/2008  0      4      28.5   3 
14/01/2008  0      3.2    26.5   3 
15/01/2008  0      2.8    27     8 
16/01/2008  0      4.4    27     9 
17/01/2008  0      4.2    25     9 
18/01/2008  0      4.5    26.5   10 
19/01/2008  0      1.2    30.5   9 
20/01/2008  0      4      27     7 
21/01/2008  0      5.6    29.5   6 
22/01/2008  0      3.8    28     6 
23/01/2008  0      2.5    33.5   7 
24/01/2008  0      3.5    33     7.5 
25/01/2008  0      4.3    32     5 
26/01/2008  0      3.9    30.5   9 
27/01/2008  0      4      30.5   10 
28/01/2008  0      3.5    31     9 
29/01/2008  0      3.7    29.5   7 
30/01/2008  0      3.8    30.5   7 
31/01/2008  0      4.4    31     6 
01/02/2008  0      4.3    29.5   7 
02/02/2008  0      4.4    31.5   5.5 
03/02/2008  0      4.8    31     6 
04/02/2008  0      3.8    31.5   6.5 
05/02/2008  0      3.6    31     7 
06/02/2008  0      5.2    29.5   5 
07/02/2008  0      5.2    30     5 
08/02/2008  0      2.9    30     6.5 
09/02/2008  0      3.9    32     6.5 
10/02/2008  0      3.9    21     7.5 
11/02/2008  0      2.4    30.5   6.5 
12/02/2008  0      3.7    30.5   7 
13/02/2008  0      3      30.5   6 
14/02/2008  0      5.9    29.5   5.5 
15/02/2008  0      5.2    31.5   3.5 
16/02/2008  0      4.6    33.5   4 
17/02/2008  0      5.3    33.5   5.5 
18/02/2008  0     Nulo    31.5   5 
19/02/2008  0     Nulo    31.5   8 
20/02/2008  0     Nulo    31.5   5 
21/02/2008 Nulo   Nulo    33     5 
22/02/2008  0     Nulo    32     5.5 
23/02/2008  0     Nulo    34.5   5.5 
24/02/2008  0     Nulo    36     7 
25/02/2008  0     Nulo    34     8 
26/02/2008  0     Nulo    34     6.5 
27/02/2008  0     Nulo    30     6 
28/02/2008  0     Nulo    30.5   8.5 
29/02/2008  0     Nulo    30.5   7 
01/03/2008  0      6.6    33     5.5 
02/03/2008  0      6.6    33     5.5 
03/03/2008  0      6.6    32     5.5 
04/03/2008  0      6.6    30.5   6 
05/03/2008  0      5      33     6.5 
06/03/2008  0      5.7    30.5   4.5 
07/03/2008  0      5.8    31     3 
08/03/2008  0      7.5    28.5   2 
09/03/2008  0      5.5    30     4 
10/03/2008  0      6.8    32     5 
11/03/2008  0      4.7    33     6 
12/03/2008  0      5.7    33     8 
13/03/2008  0      6.9    34     6 
14/03/2008  0      7.2    33     5 
15/03/2008  0      6.5    34     5 
16/03/2008  0      7      33     6.5 
17/03/2008  0      5.6    31     8 
18/03/2008  0      8.6    31     10 
19/03/2008  0      6.6    33     5 
20/03/2008  0      7.8    33     7.5 
21/03/2008  0      6.1    34     7 
22/03/2008  0      5.2    34     8 
23/03/2008  0      7.8    33     7 
24/03/2008  0      6.3    33.5   7.5 
25/03/2008  0      5.7    32.5   8.5 
26/03/2008  0      5.6    35.5   8.5 
27/03/2008  0      6      35     8 
28/03/2008  0      8.4    34     8.5 
29/03/2008  0      7.9    34.5   9 
30/03/2008  0      9.6    34     8.5 
31/03/2008  0      6.2    33     7.5 
01/04/2008  0      5.5    37     8.5 
02/04/2008  0      10     38     9 
03/04/2008  0      6.9    37.5   9.5 
04/04/2008  0      7      37     8.5 
05/04/2008  0      6.1    32.5   12 
06/04/2008  0      6.1    32.5   13 
07/04/2008  0      7.9    35.5   10 
08/04/2008  0      6.1    35.5   10 
09/04/2008  0      8.3    35.5   8 
10/04/2008  0      7.5    35.5   8 
11/04/2008  0      7.3    36.5   9.5 
12/04/2008  0      7      37     9.5 
13/04/2008  3.4    7.3    34.5   12.5 
14/04/2008  0      2.6    31     14.5 
15/04/2008  0      5.6    33     12.5 
16/04/2008  0      6      33.5   12 
17/04/2008  0      6.1    35     10.5 
18/04/2008  0      7.6    36.5   8 
19/04/2008  0      8.2    37.5   8.5 
20/04/2008  0      8.5    38     12 
21/04/2008  0      7.5    38     11 
22/04/2008  0      9.2    39     11 
23/04/2008  0      8.4    38     11.5 
24/04/2008  0      9      36.5   16 
25/04/2008  0      9.2    37.5   11 
26/04/2008  0      8      38     11.5 
27/04/2008  0      7.1    38     12 
28/04/2008  0      7.6    36     12 
29/04/2008  0      6.7    35     13 
30/04/2008  0      6.8    35     14.5 
01/05/2008  0      7.8    36.5   9.5 
02/05/2008  0      8.6    36     9.5 
03/05/2008  0      8.2    37     9.5 
04/05/2008  0      8.3    37.5   10.5 
05/05/2008  0      7.8    36     11 
06/05/2008  0      8.1    35     12 
07/05/2008  0      6.1    35     15.5 
08/05/2008  0      5.9    37     12.5 
09/05/2008  0      8.6    38     13 
10/05/2008  0      6.4    38     15 
11/05/2008  0      8.3    39.5   15 
12/05/2008  22.5   8.6    36     17 
13/05/2008  0      12.5   34.5   14 
14/05/2008  0      8.9    34.5   14 
15/05/2008  0      7.1    33.5   16.5 
16/05/2008  0      5.4    34     16 
17/05/2008  0      7.5    33     13 
18/05/2008  0      8.5    33.5   13.5 
19/05/2008  0      6      32.5   14 
20/05/2008  0      7.2    31.5   13 
21/05/2008  0      1.2    32.5   13.5 
22/05/2008  0      6.7    30.5   13.5 
23/05/2008  0      6.8    34.5   11 
24/05/2008  0      7.5    36.5   11 
25/05/2008  0      7      36.5   12 
26/05/2008  0      8.4    37     16 
27/05/2008  9.2    7.8    35.5   16 
28/05/2008  0      0.8    34     17 
29/05/2008  0      6.6    32.5   15.5 
30/05/2008  0      9.4    36     16 
31/05/2008  0.8    8.4    31     16 
01/06/2008  0      2.6    37     15 
02/06/2008  0      7      36.5   16 
03/06/2008  0      9.7    35.5   14.5 
04/06/2008  0      9.6    35     15.5 
05/06/2008  0      9      35     15.5 
06/06/2008  3      6      35     15 
07/06/2008  0      2.9    35     17.5 
08/06/2008  0      6.5    33     17.5 
09/06/2008  22.2   8.3    28     17 
10/06/2008  18.8   10.2   31     16.5 
11/06/2008  0      10.2   31     18 
12/06/2008  0      10.2   31     17.5 
13/06/2008  31     6.8    31     17 
14/06/2008  16.5   6.8    29     18 
15/06/2008  24     6.8    28     15.5 
16/06/2008  0      5.7    31     15 
17/06/2008  0      9.8    34.5   15.5 
18/06/2008  0      4.2    34     15 
19/06/2008  0      3      36     15.5 
20/06/2008  6.5    7.5    37     16 
21/06/2008  18.9   12     32     15 
22/06/2008  27     5.9    28     16 
23/06/2008  2      2.2    28     15 
24/06/2008  7.5    2.3    28     15 
25/06/2008  21     11.3   29.5   15 
26/06/2008  21.5   5.2    30     15 
27/06/2008  0.5    2.4    30     16 
28/06/2008  2.4    3.5    31.5   16 
29/06/2008  4      0.4    29.5   16 
30/06/2008  7.5    0.4    30     16.5 
01/07/2008  1.5    8.1    29     17 
02/07/2008  3      5.4    30     16 
03/07/2008  6.6    2.7    30     16 
04/07/2008  1      1.2    31.5   16 
05/07/2008  5.2    2.3    31.5   16 
06/07/2008  25     0.6    26     16.5 
07/07/2008  5      3      27.5   17 
08/07/2008  15     1.7    28.5   17 
09/07/2008  23     9.4    27     16 
10/07/2008  12.5   1.5    27.5   15.5 
11/07/2008  0      5      26.5   16 
12/07/2008  6.9    1      27     15 
13/07/2008  3      6.9    27     15 
14/07/2008  0      0.8    28     15 
15/07/2008  3      6.1    29     16 
16/07/2008  7      3      29     14 
17/07/2008  16.5   3      27     14.5 
18/07/2008  0      13.4   29     14.5 
19/07/2008  1.2    5.5    32     13.5 
20/07/2008  0      1.2    27     13 
21/07/2008  0      3.9    29     15 
22/07/2008  0      5.7    30     15 
23/07/2008  0.5    4.3    31     15.5 
24/07/2008  0.2    6.1    29     16 
25/07/2008  4.3    0.8    25     18 
26/07/2008  1.8    2.2    28.5   15 
27/07/2008  0      2.6    29     15 
28/07/2008  0      1.9    30     15 
29/07/2008  0      3.1    29     15 
30/07/2008  10     4.8    28     16.5 
31/07/2008  0      4.8    30     14 
01/08/2008  0      5.3    32.5   15 
02/08/2008  0.5    6.2    33.5   15.5 
03/08/2008  0      6.5    33     15 
04/08/2008  0.7    3.4    26     15 
05/08/2008  3      1      29     16 
06/08/2008  3.5    1.8    28.5   16 
07/08/2008  0      0.3    28.5   17 
08/08/2008  5.5    2.8    35     15.5 
09/08/2008  0      4.3    30.5   14 
10/08/2008  0      5      31.5   14 
11/08/2008  0      3.2    31     15 
12/08/2008  9      3.8    27     15 
13/08/2008  0      0.8    31     15 
14/08/2008  0.8    3.4    31     15 
15/08/2008  4.5    4.4    32     15 
16/08/2008  0      6.1    33     15 
17/08/2008  0      6.1    33     15.5 
18/08/2008  10     4.9    30     15.5 
19/08/2008  2      4.9    30.5   17.5 
20/08/2008  4.5    0.2    30     17 
21/08/2008  0      1      30     15 
22/08/2008  4.8    1.5    30     15.5 
23/08/2008  0      3.3    27     15 
24/08/2008  0.5    12.3   31     14.5 
25/08/2008  2      5      30.5   14.5 
26/08/2008  19.2   3      31     15 
27/08/2008  0      2      31     15 
28/08/2008  0.5    14     31.5   16 
29/08/2008  1.2    4.4    31     16.5 
30/08/2008  0      9.9    29     14.5 
31/08/2008  0      4.5    31     17 
01/10/2008  0      0.4    28     14 
02/10/2008  0      1.2    30     13 
03/10/2008  0      0.3    28.5   14.5 
04/10/2008  0      0.8    30.5   13.5 
05/10/2008  10     3.8    31     12 
06/10/2008  0      6.9    31     10.5 
07/10/2008  9.5    2.8    30     10.5 
08/10/2008  3.5    4.5    33     14.5 
09/10/2008  0      0.3    31     13 
10/10/2008  0      3.6    31     12.5 
11/10/2008  22.4   2.5    31     13 
12/10/2008  0      2.5    27.5   13 
13/10/2008  2      2.6    28     13.5 
14/10/2008  0      2.9    28     13.5 
15/10/2008  0      0.2    28.5   11 
16/10/2008  0      2.8    30     11 
17/10/2008  0      3.8    29.5   10.5 
18/10/2008  0      4.7    28     11 
19/10/2008  0      5.4    29     11.5 
20/10/2008  0      3.5    29     11.5 
21/10/2008  0      4.3    30     11.5 
22/10/2008  0      4.9    30.5   11 
23/10/2008  0      4.9    31     11 
24/10/2008  0.2    2.9    30     10 
25/10/2008  0      2.5    28     11 
26/10/2008  0      4.4    30.5   13 
27/10/2008  0      3.4    30.5   11.5 
28/10/2008  0      3.9    30     11 
29/10/2008  0      3.9    25     11 
30/10/2008  0      3.9    27     8.5 
31/10/2008  0      2.8    27     9 
01/11/2008  0      8.6    28     10 
02/11/2008  0      6.9    28.5   8 
03/11/2008  0      5.3    30     8.5 
04/11/2008  0      2      33     8 
05/11/2008  0      4.1    33     8 
06/11/2008  0      5.1    33     8 
07/11/2008  0      2.1    30     7.5 
08/11/2008  0      6.1    33     11 
09/11/2008  0      2      28.5   8 
10/11/2008  0      4      29     7.5 
11/11/2008  0      3.8    31     7 
12/11/2008  0      4      31     6 
13/11/2008  0      3.3    31     6 
14/11/2008  0      5.3    30.5   6 
15/11/2008  0      4.9    31.5   7 
16/11/2008  0      2.7    22.5   5 
17/11/2008  0      3.5    26     6 
18/11/2008  0      3.9    26     6 
19/11/2008  0      3.4    26     6 
20/11/2008  0      2.7    28     6.5 
21/11/2008  0      4.5    27.5   6 
22/11/2008  0      3      26     4 
23/11/2008  0      2      26.5   5.5 
24/11/2008  0      1.8    29     3.5 
25/11/2008  0      3.7    29     6.5 
26/11/2008  0      4.5    30     7 
27/11/2008  0      3.5    35     6 
28/11/2008  0      3.5    30     6 
29/11/2008  0      1.4    30     6.5 
30/11/2008  0      8.1    30.5   5.5 
01/12/2008  0     Nulo    30.5   6 
02/12/2008  0     Nulo    30.5   5.5 
03/12/2008  0     Nulo    30     5 
04/12/2008  0     Nulo    29.5   5.5 
05/12/2008  0     Nulo    29.5   6 
06/12/2008  0     Nulo    30.5   6 
07/12/2008  0     Nulo    30.5   4 
08/12/2008  0     Nulo    28.5   4 
09/12/2008  0      4.2    28.5   7.5 
10/12/2008  0      3.6    27.5   3.5 
11/12/2008  0      3.5    22     3 
12/12/2008  0      1.8    28.5   0 
13/12/2008  0      3.8    29     1 
14/12/2008  0      3.8    29     1 
15/12/2008  0      5.5    30.5   3 
16/12/2008  0      3.5    28.5   4 
17/12/2008  0      3.5    30     6 
18/12/2008  0      4.4    30     5.5 
19/12/2008  0      2.4    30     5 
20/12/2008  0      4.6    29     5.5 
21/12/2008  0      2.3    29.5   2.5 
22/12/2008  0      4      23     3 
23/12/2008  0      2.6    27     8.5 
24/12/2008  0      3.6    28.5   4 
25/12/2008  0      2.8    29.5   5 
26/12/2008  0      4.6    29     5 
27/12/2008  0      3.3    28     5 
28/12/2008  0      2.7    29     5 
29/12/2008  0      3.8    30     5 
30/12/2008  0      2.6    27.5   5 
31/12/2008  0      2.8    30.5   7 
01/01/2009  0      3.3    28     7.5 
02/01/2009  0      2.8    29     6.5 
03/01/2009  0      3.8    28     7 
04/01/2009  0      4.4    29     6 
05/01/2009  0      5.3    28.5   6 
06/01/2009  0      3.6    23.5   6 
07/01/2009  0      3.4    31     6 
08/01/2009  0      3.7    28.5   5 
09/01/2009  0      3      31     5 
10/01/2009  0      3.6    28.5   5 
11/01/2009  0      2.7    30     6.5 
12/01/2009  0      4.2    28.5   8 
13/01/2009  0      2.5    26.5   7.5 
14/01/2009  1      3.1    26     7.5 
15/01/2009  5.5    0.9    26     8 
16/01/2009  0      5.8    26     9 
17/01/2009  0      4.8    27     8 
18/01/2009  0      1.5    27     8 
19/01/2009  0      3      29.5   7 
20/01/2009  0      3.1    28     7.5 
21/01/2009  0      4.4    28.5   8.5 
22/01/2009  0      3.5    29.5   9 
23/01/2009  0      3      27     10 
24/01/2009  0      2.3    32     9 
25/01/2009  0.1    3      31     9.5 
26/01/2009  0      3.6    31     11.5 
27/01/2009  0      3.2    32     11.5 
