CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14144
NOMBRE    : TENASCO
ESTADO    : JALISCO
MUNICIPIO : COLOTLAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0022.157°
LONGITUD  : -103.233°
ALTITUD   : 1,710 msnm
 
EMISIÓN   : 14/08/2019 
 
		           PRECIP  EVAP   TMAX   TMIN
  FECHA   		   mm     mm     °C     °C 
01/01/2008    0.0    3.3    28.1    -0.2
02/01/2008    0.0    5.8    21.7    -1.2
03/01/2008    0.0    4.2    23.1    2.9
04/01/2008    0.0    3.7    27.0    2.4
05/01/2008    0.0    3.2    27.5    1.8
06/01/2008    0.0    4.0    26.7    2.7
07/01/2008    0.0    4.1    26.4    2.7
08/01/2008    0.0    3.7    26.2    1.2
09/01/2008    0.0    3.7    27.0    1.6
10/01/2008    0.0    3.7    25.7    1.6
11/01/2008    0.0    3.7    25.6    2.8
12/01/2008    0.0    3.8    26.6    -1.0
13/01/2008    0.0    4.0    25.3    -0.7
14/01/2008    0.0    3.8    25.0    4.9
15/01/2008    0.0    4.7    24.7    6.4
16/01/2008    0.0    3.9    24.8    5.2
17/01/2008    0.0    3.6    24.9    0.5
18/01/2008    0.0    3.4    22.6    0.2
19/01/2008    0.0    3.5    25.0    0.8
20/01/2008    0.0    3.5    24.4    3.0
21/01/2008    0.0    3.6    25.8    0.3
22/01/2008    0.0    3.8    26.4    3.8
23/01/2008    0.0    4.5    29.7    5.8
24/01/2008    0.0    4.4    29.0    7.2
25/01/2008    0.0    3.9    29.0    4.8
26/01/2008    0.0    4.6    29.3    7.2
27/01/2008    0.0    5.3    30.1    9.6
28/01/2008    0.0    4.5    27.9    6.0
29/01/2008    0.0    3.8    26.1    4.6
30/01/2008    0.0    4.4    26.1    3.3
31/01/2008    0.0    6.0    26.4    2.1
01/02/2008    0.0    2.8    30.0    -4.0
02/02/2008    0.0    3.9    28.0    -4.0
03/02/2008    0.0    3.5    30.0    -2.0
04/02/2008    0.0    3.4    28.0    -2.0
05/02/2008    0.0    3.7    28.0    -1.0
06/02/2008    0.0    3.1    28.0    -4.0
07/02/2008    0.0    2.8    30.0    -5.0
08/02/2008    0.0    3.4    25.0    -1.0
09/02/2008    0.0    3.2    22.0    -2.0
10/02/2008    0.0    2.2    15.0    -1.0
11/02/2008    0.0    2.1    30.0    0.0
12/02/2008    0.0    2.1    30.0    -1.0
13/02/2008    0.0    2.0    30.0    -2.0
14/02/2008    0.0    2.4    30.0    -1.0
15/02/2008    0.0    2.2    27.0    -1.0
16/02/2008    0.0    3.2    25.0    3.0
17/02/2008    0.0    4.4    30.0    3.0
18/02/2008    0.0    4.8    31.0    -4.0
19/02/2008    0.0    2.9    30.0    -3.0
20/02/2008    0.0    3.5    28.0    -3.0
21/02/2008    0.0    4.6    28.0    -2.0
22/02/2008    0.0    4.9    32.0    -2.0
23/02/2008    0.0    5.5    28.0    -3.0
24/02/2008    0.0    4.2    31.0    -1.0
25/02/2008    0.0    4.8    32.0    0.0
26/02/2008    0.0    4.8    36.0    1.0
27/02/2008    0.0    5.8    28.0    1.0
28/02/2008    0.0    4.4    28.0    0.0
29/02/2008    0.0    4.2    21.0    1.0
01/03/2008    0.0    3.6    30.0    0.0
02/03/2008    0.0    5.2    28.0    1.0
03/03/2008    0.0    4.2    31.0    1.0
04/03/2008    0.0    2.8    30.0    -1.0
05/03/2008    0.0    2.2    28.0    3.0
06/03/2008    0.0    3.1    28.0    3.0
07/03/2008    0.0    4.2    26.0    4.0
08/03/2008    0.0    5.0    30.0    5.0
09/03/2008    0.0    5.8    30.0    2.0
10/03/2008    0.0    4.4    28.0    4.0
11/03/2008    0.0    4.8    31.0    1.0
12/03/2008    0.0    5.4    35.0    3.0
13/03/2008    0.0    5.2    30.0    0.0
14/03/2008    0.0    5.1    28.0    0.0
15/03/2008    0.0    5.1    35.0    2.0
16/03/2008    0.0    5.6    34.0    3.0
17/03/2008    0.0    7.6    17.0    1.0
18/03/2008    0.0    8.4    22.0    5.0
19/03/2008    0.0    8.2    23.0    4.0
20/03/2008    0.0    8.7    28.0    3.0
21/03/2008    0.0    6.3    28.0    -1.0
22/03/2008    0.0    5.7    31.0    0.0
23/03/2008    0.0    5.7    31.0    3.0
24/03/2008    0.0    6.7    30.0    4.0
25/03/2008    0.0    6.1    28.0    3.0
26/03/2008    0.0    6.9    33.0    5.0
27/03/2008    0.0    6.0    33.0    4.0
28/03/2008    0.0    5.8    26.0    2.0
29/03/2008    0.0    6.2    30.0    3.0
30/03/2008    0.0    7.5    33.0    3.0
31/03/2008    0.0    8.6    36.0    2.0
01/04/2008    0.0    8.8    34.0    2.0
02/04/2008    0.0    5.8    40.0    3.0
03/04/2008    0.0    9.8    38.0    5.0
04/04/2008    0.0    6.5    36.0    4.0
05/04/2008    0.0    6.5    26.0    4.0
06/04/2008    0.0    6.2    36.0    0.0
07/04/2008    0.0    7.6    26.0    0.0
08/04/2008    0.0    8.2    26.0    1.0
09/04/2008    0.0    7.6    38.0    2.0
10/04/2008    0.0    7.6    35.0    2.0
11/04/2008    0.0    7.9    38.0    2.0
12/04/2008    0.0    6.7    36.0    5.0
13/04/2008    2.0    7.6    25.0    6.0
14/04/2008    1.0    6.8    20.0    4.0
15/04/2008    0.0    5.4    24.0    4.0
16/04/2008    0.0    2.8    22.0    6.0
17/04/2008    0.0    8.2    22.0    7.0
18/04/2008    0.0    4.6    21.0    2.0
19/04/2008    0.0    7.8    25.0    5.0
20/04/2008    0.0    7.4    38.0    6.0
21/04/2008    0.0    7.8    29.0    5.0
22/04/2008    0.0    8.0    38.0    6.0
23/04/2008    0.0    7.6    39.0    6.0
24/04/2008    0.0    7.6    40.0    7.0
25/04/2008    0.0    8.4    40.0    5.0
26/04/2008    0.0    8.2    32.0    6.0
27/04/2008    0.0    8.2    37.0    4.0
28/04/2008    0.0    8.2    28.0    7.0
29/04/2008    0.0    6.4    30.0    7.0
30/04/2008    0.0    6.2    20.0    7.0
01/05/2008    0.0    6.4    30.0    3.0
02/05/2008    0.0    7.0    28.0    2.0
03/05/2008    0.0    4.1    30.0    3.0
04/05/2008    0.0    8.2    30.0    6.0
05/05/2008    0.0    8.9    32.0    7.0
06/05/2008    0.0    6.5    36.0    6.0
07/05/2008    0.0    6.2    38.0    6.0
08/05/2008    0.0    6.1    30.0    5.0
09/05/2008    0.0    8.1    35.0    6.0
10/05/2008    0.0    7.2    38.0    7.0
11/05/2008    0.0    8.4    28.0    8.0
